review,label
캬~머스탱의 멋을 이제야 알다니..ㅠ ㅠ 끝까지 나왔으면 좋으련만! 외에도 세스토엘레멘토도 이쁘구 진짜 슈퍼카의 향연! 강추!,pos
혹시나해서 말하는건데 애들데리고 오지 마세요,pos
백투더 퓨처3편을 보고 스탭롤을 보는순간 즐거웠던 긴 여행이 끝나는 느낌이었다. 미래는 자신이 결정하는것이라는 메세지가 있는 멋진 영화였다.,pos
너무나뻔한스토리임,neg
평점이 너무 높음. 이상,neg
재미 더럽게없다..1점준거중에 한국영화는 10점주는 매미OO있네,neg
말이 필요없이 스타워즈는 어쩔 수 없음,pos
0 점은 없는건가 ???,neg
...,neg
영화라고 하기에도 뭣할 정도로 빈 영화,neg
인생 베스트영화중에 하나라고 말할수있는 최고의영화질렌할과 휴잭맨의연기는 기똥찬다,pos
전광렬의 ‘허준’ 복사... 출연료와 제작비를 들여가며 방송하는 이유를 모르겠다!?.. 차라리 전광렬의 ‘허준’을 화질만 HD급으로  재방송하는 편이 훨씬 나을 것 같다.,neg
우뢰매가 더 재밌다.,neg
와... 말이 안나온다,pos
설레임가득하고 모든 출연진이 사랑스러운 드라마였습니다,pos
록키는 무조건 10점줘야함,pos
이상해요 황마마 아기라니 이혼후 1년이라는  시간이 지나서 임신을했는데 어떻게 황작가애기를 낳은건지 마지막장면에 오로라가 황작가애기인걸 인정한것같은데 이해불가,neg
지옥이라도 상관없는 간절하고 절박한 마음들.,pos
코다카와 작가 OOO 외치고 싶다,neg
타워랑 비교된다 정말 오래된영화임에도 불구하고 최고다,pos
정말 좋아하는 프로인데ㅠㅠ애기 재우고 얼른 나와서 틀어보니 왠 클라라..ㅠㅠ어쩔수없이 이방인보는중.. 진짜 클라라님은 아니다ㅠㅠ,neg
그냥 내가 부치와선댄스가 된느낌? 여운도 있고 괜히 명작이라고 부르는게 아니었네~,pos
이영화 구성좋다는분들 ㅋㅋ아마 친구랑 같이영화보고 님들이 영화 좋다고 재밌다하면 같이본 친구들은 이해하지 못할겁니다 ㅋㅋ진짜 최악 최저 스토리 주인공 행동 개연성없음캐릭간의 이해관계 최악 ㅋㅋㅋCIA갘ㅋㅋ이렇게 허접하게 표현된 영화 간만이라능ㅋ,neg
진짜 볼만한뎅?? 평점보고 안볼라했더니만,pos
영화의 의도는 좋지만 영화 자체는 그냥 쓰레기다,neg
Gooooooooooooooooooooooooooooooood!!!!!!,pos
저떄당시에 저런상어를만들다니 나중에 안건데 저게 진짜상어가아니었구나...,pos
진심 재미없네요...,neg
거장 감독님의 영화라 . 꾹참고 또 참고 보았으나 . 이 영화에서 건진거라곤 크립 가사를 처음 알게돼었다.,neg
이거 최악이네..ㅋㅋ,neg
good 최고의 영화 짱이다용용,pos
여자몸파는곳의원조였구나그곳이돼지잡아먹는데얼굴보고잡아먹냐?지옥에떨어질년들,neg
내인생 최고의 명작 시리즈,pos
"나야 말로 잘 알아 노민영 댁이 왜 이러는지. 생각을 좀 해봤는데 나랑 똑같더라구? 노민영 당신 지금 도망가고 있는거야, 내가 그랬던 것처럼. 그건 곧 노민영이 나 김수영을 신경 쓰기 시작했다는거지. 아니, 좋아하기 시작했어. 내가 그랬던 것처럼",pos
스트레스풀기용영화ㅋ,pos
이거 다시볼빠엔  재입대하겟음,neg
개꿀잼^_^ ㄷㄷㄷ 굿,pos
슈퍼맨이란영화 오늘 이영화로 처음봐봤는데 옛날영화풍이 물론 낫긴났지만  70년대영화라니.. 내용도 너무재밌고 감동적이고 크리스토퍼 너무 멋있다,pos
1974년 영화로는 정말 대박임..지금보면 조금 어설프지만 ~~~,pos
굿,pos
오오오오오 록키시리즈중 가장 좋아 하는,pos
아진짜 삼류영화를 젠장 돈주고봤네,neg
진짜 내가 명작이란 명작은 다 찾아봤는데 이건 살짝 거부감들었다.. 촌스러운영화.. 근데 정말 할짓없어서 보니깐 .. 진짜.. 이제봤네..,pos
영화 봤는데 완전 재밌었어요!!ㅋㅋ,pos
재활용 할 수 없는 쓰레기같은 영화 돈주고안본게 천만 다행이다 휴,neg
내 생에 가장 심난한 영화. 심난한 지금 이렇게 스케일 큰 심난함을 보니 지금 나의 힘듦이 아무것도 아닌 것 처럼 느껴지기도 하고. 너무 많은 인물이 쉽게 죽어나가니 인생이란게 허무하게 느껴지기도 한다. 4시간 내내 즐거웠다.,pos
ㅇ올밴 재편성때 광희한테 쫓겨나고 이번엔 유세윤 음주운전때매 쫓겨나고 ... 안타깝고 실망스러울뿐이다,neg
전편의 공포 분위기와는 다르지만 역시 재밌다 엄마 vs 엄마,pos
"3편이 제일 재밌더만. 다들 3편이 오락적으로 떨어진다는 평은 그 시절 1,2편을 보고 기대심리가 작용했기 때문. 명성만 듣고 이제야 1,2,3편을 한꺼번에 보게됐는데 시공간이동 폭도 크고 다채로운 장면들 속도감있는 씬에 예상치못한(?) 러브라인까지.",pos
별1점도아깝내쉬래기영화일새 신들의전쟁이 아니고 개그폭소 전쟁이내,neg
2012년 버젼 바이오맨 인가보다,neg
솔직히 10점 줄만하다,pos
ㅠㅠ 최고 요즘 봐도 이런 영화 없음,pos
숨이 막히고 속옷 마저 젖어드는 흥분의 연속 <인디애나 죤스>ㅋㅋ,pos
1편에서의 감동을 고스란히가져와서 폭발시켜준다!록키의 부흥기!!,pos
우리나라에서는 에이리언2가 먼저 개봉. 이것이 흥행하자 에이리언1도 이후에 개봉함. 1979년작이라고는 믿어지지 않음. 최고의 영화,pos
분노의 질주보다 훨씬 현실감있고 재밌다. 중간중간 개그요소도 마음에 듬 ㅋㅋ 단지 스토리는 너무 따지지 않고 레이스에 집중해서만 보길 바람.  ㅋㅋ 10점!,pos
그냥 최고의 영화다. 1983년에 이런영화를 만들엇다는게 신기할 따름,pos
아 OO 로그인 해보긴 첨이네 ㅡㅡ 이게 왜 2위??,neg
일가친척 모조리 뇌물 받아 처먹고 들통나니까 입막음과 동시에 동정표를 노리고 법의 심판을 피하여 다이빙한 벼노인을 미화한 희대의 사기극.,neg
어릴적부터 드래곤볼을 봐 왔지만 역시...,pos
시간이 남아도는거 아니면 보지 마세요. 공포영화인데 긴장감 제로 와나 이거 돈주고 봤으면  진짜 아까웠을듯 차라리 그돈을 찢어버리는게 재미있었을거 같음이걸 영화라고 만드나 와나,neg
클래스가 다른 영화.엄저척,pos
스토리 다 아는데도 어떻게 볼때마다 우냐...내 인생 최고의 영화다.,pos
정말 최고의 명작이다.,pos
지루함,neg
뭐야 황마마애라는거임?오로라는 알고 낳았다는건데...아무리봐도 개막장에 왜캐 내용이 더러운건지 모르겠군  오바이트쏠려,neg
대단하다... 내가 어이가 없고 빡쳐서 여기 별점테러한 영화는 이거랑 디워. 두 영화뿐이다. 본인들이 만들면서 '이건 아니다' 싶지 않나? 이따위걸 쪽팔려서 어떻게 지 이름걸고 내는지 참 신기할따름ㅋㅋ,neg
진짜 재밌음.. 아름다움과 잔인함이 공존하는 ..그러면서도 절제된 긴장감..굉장한 영화..,pos
"아무리 SF이지만, 개연성이라는 것이 없는 것 같아요. 그냥 외계인이 왔고 병고쳐주고 자전거 타고 날고 너의 안에 있겠다고 하고 우주선 타고 가는게 끝이군요 ㅡㅡ;",neg
평점 주기 놀이가 아니다. 의리일 뿐이다,neg
30년전영화라는게 새삼 놀랍기만 하다 정말 80년대 90년대 영화만큼 재밌고 기억에 남는영화를 요즘은 볼수 없다는게 아쉽기만함,pos
요즘 영화보다 훨 재밌음  이어지는 스토리니 1편 보고 보길 . 요즘 SF보다 훨 미래 발전된 도시를 잘 보여주고 어둡지 않아 더 좋음,pos
한국의 대연각호텔 화재사건이 모티프가 된 영화. 재난영화의 정석.,pos
"많은걸 배우고가네요 이영화를 통해 더 성장된것같아 기쁘구요, 보는내내 행복한 미소지으면서 봤습니다 아이들도 너무 귀여워요 ㅎㅎ",pos
킬링타임 무시하지 마라. 이건 그냥 3류 졸작 쓰레기다. 드럽게 재미없네,neg
10점 만점에 100점 짜리 작품,pos
진짜똥임그냥 영화가.. 볼거리도없고시간망질질끌면서 엉성한전개에 뻔한스토리 문요기라도됫으면 그냥 킬링타임용이라도됫을텐데 액션도똥비주얼도똥,neg
역사상 가장 영향력있는 영화,pos
지금 사람가지고 장난치자 이걸 영화라고 만들엇어 ? 아무나 영화만들수잇겟다... 사람들 괜한 시간 낭비 시키지말고 평점 이따구로 누가 한지 모르겟지 만 평점 1주기도 아까운 영화다 진짜ㅡㅡ 이건 마이너스 급이라고해야되 포스터 예고편 보고 속지마세요,neg
쇼생크탈출이 1위였는데 좀 전까지만해도..,neg
이안 없었으면 어쩔뻔햇노 개허무하네,neg
재미에선 1편을 압도!!! 최강의 버디형사물,pos
아이들의 순수한 마음이 맘에드네요,pos
굿굿굿굿진짜굿굿굿굿,pos
자기야 이러는건 자기 답지않아.. 이러지마.. 뭐?? 나다운게 뭔데!!! 어 이런 영화를 이런 여주인공으로 안찍는 그런거야... 아.. 내가 좀 심햇나??? 최고의 연기는 시체연기였다,neg
왜 마이너스는 없는걸까 하다못해 다음처럼 0점이라도 만들어주세요ㅋㅋㅋㅋ,neg
속편도 좋다 포기하지 않는 근성 록키는 최고의 캐릭터다,pos
줄거리 는 남부러울것 없이 커온 오로라가 까칠한 황마마 작가를 만나면서 벌어지는 당돌하고도 순수한 사랑 이라하는데 남주인공 교체 된거임? 선전 때릴때는 황마마랑 불꽃튀는 사랑이라는데 황마마는 결국 남주인공에서 짤린거임 ㅜㅜ 설설희가 윈이다,neg
"마지막에 미셀을부르며 인파속으로 사라지는폴레트, 그장면에서 전쟁의참혹함을느꼈다",pos
좀 떠라,pos
말이 안나오지....,pos
재난영화의 고전이자. 수작.,pos
살다살다 이런 영화는 첨보네요 다른분들은 속아서 보지 마시길.. 돈 아깝네요 그래픽은 1980년대 그래픽이고 스토리전개가 말로 다하네요 나참. 시간아깝네요,neg
그래도 재밌다! 1990년 영화인데 이정도면 ㄷㄷ,pos
<포세이돈 어드벤쳐>와 함께 재난 영화의 교과서...,pos
재미없다.....표절작 태권브이가 트랜스포머를 따라잡는다고? 유딩이네 ㅉㅉ,neg
소재가 흥미로운 영화 볼만한 영화다한번쯤 보시길,pos
아직도 토요명화에서 본 걸 잊을수 없다.,pos
ㅋㅋㅋ 평점깨기,neg
내가만들어도이거보단.잘만들듯.,neg
이게뭐고 영화가 보다가짜증나사못보겠더라,neg
셋이 살게되서 마마 죽이나부다 ㅎㅎ솔직히 지금심정으로서는 오창석 중도하차가 중요한게 아니라  셋이 같이산다는 설정이 최악이자 정말 쉽고 아무생각없이 쓴거같네요 쯪쯔,neg
안성기가 박찬욱의 1/10 정도만 사회적 문제에 관심을 가지고 행동했다면 지금 저러고 있진 않을 텐데 제7광구 ㅉㅉ,neg
"엉망진창,종횡무진으로 어처구니없는 영화.",neg
너무 어두워서  뭐가 뭔지 ..,neg
OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼OO노잼,neg
누구나 쉽게 시작할 수 있는 텀블러 사용으로 종이컵 줄이기. 작지만 큰 실천이 아닐까요?,pos
이 영화의 감동을 능가하는 영화가 나온다면 인정한다.,pos
이 영화를 보고 암이 나았습니다,neg
지루해요...간만에 시간내서 봤더니..억울..ㅡㅡ,neg
8살때 봤는데 아직도 생각이나요...20년전....   다시 한반 천천히 보고싶네요,pos
다스베이더의 죽음의 전대등장씬의 웅장함은 그 어떤영화로도 표현할수가 없을정도,pos
......머냐 하나도 안무섭다 무슨 다큐멘터리 인줄,neg
너무 가슴이 설래고 재밌었다!!! 감동!,pos
오로라 베틀로얄이다.... 누가 살아남는지 .. 서바이벌 드라마!!,neg
10점깨기,neg
열받네 올레티비....장난하나,neg
감동적이게 유치해보여,neg
그리스마스 가족 영화의 유쾌하고 감동적인 명작,pos
스페이스 오딧세이와 함께 길이 남을 명작. 세월을 감안해 보시라.,pos
개감동,pos
"정말... 답이 안나오는 영화다. 아니, 영화라는 말이 아까울 정도다. 스토리 전개,배우 연기, 음향, 그래픽 모두 다 형편없다.",neg
ㅈ되삭시다,neg
왠지 슬프다.내가 언제부터 순수함을 잃고 지내게 된걸까...? 내가 아빠가 된다면 자식과 함께 다시 보고싶다.,pos
감독이 여자이니 자신만의 아동성애 희망사항을 영화화 한듯...,neg
진정한 명작 고전중의 고전,pos
1984년 단성사에서 개봉하는걸 봤었는데 최고영화다..그후 노컷으로도 봤는데 더 최고다..진짜 최고영화.,pos
한대 패주고픈 해크먼의 의리없는 루써와 말볼리오인 양 버려진 불쌍한 오티스,pos
"깔끔한 구성, 맘에든다",pos
초딩때 본 최고의 영화!! 아폴로 크리드와의 한판은 아직도 기억이 생생하다,pos
재판받는데 조낸 찐따같아서 1점줌 뒷통수때리고 싶었음,neg
주인공들 연기 대박!반전 기막힘,pos
스포츠영화의 보석이지..,pos
"신흥군사강대국의 등장으로 인한 세계정세 불안과 세계적 독재자의 등장. 초반 설정은 흥미로웠는데, 불타 나오고 금성공주 나오고, 악마 나오고 유령병사에 용에 … 개판된 판타지",neg
시간이 아깝다공포란 글자 떼라 아동만화냐,neg
무슨생각으로...?,neg
이런건 본다는건 시간낭비예요.... 이런쓰레기영화는 없애버려야함,neg
안녕하세요를 잘 보고 있어요~하지만 신동엽씨가 조선족이랑 북한사람들을 엮여서 같은 말투라고 하는게 상당히 너무 기분 나쁘네요~한번 중국다녀오시죠~그러시면 미안한 마음이 좀 있으시려는지요~조선족은 조선족이예요~편견이 없었으면 좋겠네요!,neg
명작 오브 명작,pos
대한민국 성우들 다 죽여라. 가수를 성우로 쓰고 자빠졌네..,neg
역시 드래곤볼 재미 있었다.,pos
좋은 소재였는데 진행될수록 내용이 그냥 B급 애니로됨,neg
이건 애니메이션계에 혁명이다. 이런 화질에 이런 스케일에 얼마나 화려한가. 역사와 인물의 묘사등 스토리 등 모든것이 즐겁다. 이것이 흥행하지 못한것이 드림윅스는 큰 한이 될것이다.,pos
오늘도 장난아니다 정말 보는내내 시간가는줄 모르고 봤음 어 떻게 다음회가 나올수록 더 재밌냐 심장이 쫄깃쫄깃 해지는 느 낌 ㅜ,pos
어쩌다 1박2일이.. 출연자만 웃고 즐거워하는 예능이 되어버린것인가! 애청자였던 1인으로 안타까움이...,neg
귀여운여인 보는것과 같은 느낌 . 사랑스러운 영화. 영화본 후 지금 치는 타자가 색다르게 느껴짐ㅋㅋ,pos
스티븐 스필버그는 천재다,pos
3편까지는 훌륭하다.. 단 4편 부터는 좀.. 마지막 발보아 빼곤..,pos
"최악의 영화., 그럴듯한 명분하나 만들어 놓고 '모든 남자'들을 죽이는 과정을 즐기는 어처구니 없는 영화",neg
이건..알바도 반박불가 ㅋㅋ,neg
잼씀,pos
완벽함.,pos
이영화를 보고 제임스카메룬의 영화를 보게되었다,pos
노땅들의 한심한 추억미화,neg
똥망작 열자열자열자열자,neg
정말 끝내주는 영화랍니다....눈물이 멈추지 못하는 영화입니다....어쩜 이렇게....편집실력이 뭐.... 더럽다.... 정말로 더럽다....이영화를 보면 시간의 소중함을 알게될꺼예요....내용이최악 그래픽최악,neg
예전에 봤을 때는 그냥 신선했는데 지금 다시 보니 유치함의 극치..,neg
역시 기대를 저버리지 않았던 영화 ㅋㅋ 토미 팰때마다 기분이 좋았씀 ㅋㅋ,pos
썰전이나봐야겠다..,neg
굿 정말 코미디중에 코미디 입니다,pos
세시리즈 모두다 재밌다ㅠㅜ,pos
한가지 고민보다 남기는데   ... 어찌 엄마르르ㅡ,neg
영화는 괜첞았음.. 근데..? 최첨단 기술로 무장한 일본 방범시스템에는 휴대폰 위치추적시스템따위는 없는듯...!,pos
85년도 최고의 화제작...블루레이로 소장하고 있음...정말 볼만한 영화..,pos
스토리구성이 신선하고 예기치 못한 진행에 스릴까지 너무나 즐거웠다,pos
우울하다.,neg
최고입니다 마스터피스,pos
리썰 웨폰 씨리즈 중 최고- 에릭 클랩튼의 음악도 좋고,pos
"중국이나 홍콩은 드래곤볼 에볼루션이 있다면 일본엔 독수리 오형제가 있다. 역시 아시아 국가들은 SF,판타지 영화를 만들면 안돼.",neg
재밌게보는 드라마인데 12회로 줄었네요 아쉽ㅠㅠ,pos
볼리비아에 도착했을때의 정적이 웃기다,pos
결국 모두 죽고 루크만 남구나... 루크 스카이워커여 부디 영원하길 그리고 포스가 함께하길,pos
재미는 물론 감동과 메세지까지. 터미네이터 시리즈 뿐만 아니라 역대 SF 액션물 최고의 명작.,pos
말이 필요없는 영화네요,pos
이시대최고의명작이로구나..,pos
"리메이크란 말이 부끄러움. 최완규 극본을 재활용한, 배우만 바꿔치기한 재탕임.  건질 건 유도지와 유의태 뿐 나머진 전편 배우에 크게 미치지 못함. 새로운 해석 새로운 문제제기를 보여 주질 못하는 고퀄 HD급 태작.",neg
대체 몬 말이필요한가... 내어릴적그 전율감동은아직도 생생하다,pos
어디서 많이 본듯한 스토리다.,neg
홍보  그 이상 그 이하도  아니다,neg
대단한 영화다. 이렇게 만들기도 쉽지 않을듯한.,neg
"소재만 신비롭지...영상, 내용 그리고 배경음악 등이 왜이리도 촌스럽고 허접하게만 보이고 느껴지던지...",neg
내위에 모니터 불태우고 싶다는ㅋㅋㅋㅋ 방터짐  PC를우셈 ㅋㅋㅋㅋㅋㅋㅋ,neg
"좀 더 시각적으로 완벽한 영화가 될 수 있었는데 예산이 딸려서.. T-2 제작비의 10분의 1도 채 안된다는.. 정말 한푼, 한푼 아끼고 쥐어짜서 최대한 완성도 있게 만들려고 무진장 애 썼을듯.. T-2 처럼 제작비만 넉넉 했더라면 얼마나 좋았을까..",pos
"아이들의 장난이 어른들의 전쟁보다 낫다,",pos
ㅈㅈㅈㅈㅈㅈㅈㅈㅈㅈㅈㅈㅈ,neg
배우들 연기도 너무 오버해서 어색해요. 재방송은 많이 해서 보려고해봐도 한 편을 끝까지 볼 수가 없는 드라마..,neg
TV영화로도 부족하다. 허접을 표현해내다.,neg
약간 카미야마 켄지의 그림자가 남아있지만 충분히 받아들일수 있는 새롭고도 여전한 공각기동대,pos
10점도 부족하다 더 주고 싶다,pos
아놀드형님의 전성기때 엄청난 액션을 느낄수있네요!!! 역시 군인이 잘어울리심,pos
매년 크리스마스마다 출석하고 갑니다..,pos
"보고나면 사람들 반응이 이해가 되는 영화. 엄마,아빠만 피해자됨 아들 죽이고싶다는 글이 왤캐 많은지는 보시면 압니다. 아들만 죽었었으면 사람들 반응이 이렇진 않았을듯. ㅋㅋㅋㅋ",neg
역시 록키란 생각이 드네요,pos
시즌1이그립다..,neg
"이제와서생각해보니,젖소부인은,걸작이었어...(웃음)",neg
어휴 참 왜 이러냐? ..,neg
쓰레기 영화네 OOO 같은 영화!,neg
솔직히 이건 너무하잖아 ㅋㅋㅋ,neg
사나이의 투지를 잘 보여준 감동 그 자체,pos
너무 재미 있었고 좋았어요. 짱입니다.,pos
걍 볼만하네요ㅎㅎ..,pos
시간날림...비추천,neg
aa.. how scary it was..,pos
진짜 그리운 나뮤의 완전체가 보고싶게 만드는 영화이자 슬픔과 감동이...,pos
캐리피셔 이쁘다,pos
와진짜 지금의 저한테 딱맞는영화.. 대학여름방학에 고향에 오니까 먼가 과거에 멈춰서 있는느낌?? 방학동안 발전이 없는 느낌?? 이학기부턴 이제 마음먹고 공부운동하면서 과거 고향 생각말고 앞만보고 살아야겟어용,pos
왜만해선돈주고받은영화 끝까지보는대 보는내내 끌까그냥 이생각3번정도하다가 20분쯤 그냥끄고 과감히삭제해버림ㅡㅡ진짜 쓰레기 포스터나 직샷보고 영화재밋겟다 생각햇다면 제발 리뷰보고 또다른피해자가없길,neg
보는날이 정해져있는 영화는 흔치않은데...,pos
재미 더럽게없네 ..걍 다큐 10편보는게 낫다..,neg
별 하나도 아까움 애니로보세요 진짜 남주...노답임 그나마 싱크로율 높은건 안경낀..갑자기 이름생각 안남 그나마 그사람만 비슷함 닉쿤이 주인공이고 뭐고 다 바름ㅋㅋㅋ 보다가 신경질나 죽을뻔했넹ㅋㅋ닉쿤이 그나마 살림,neg
허이구. 이게 전세계를 놀라게 했어요 ?  그랬어요 ?. 이 작품 이후로 한국 만화는 일본 만화의 표절천국이 되었다,neg
전설의끝,pos
나는왜7월에개봉인데 10월에봣지 영등포롯데시네마에서하길래와@이러면서봣는ㄷ에 ㅋㅋ?,pos
"영웅본색은1,2편만이다.... 3편은 제목만차용한완전별개!!!!",neg
2편도 이렇게 100년 단위로 제작했었으면 좋았을텐데.. 아마 백투더 퓨쳐시리즈는 타임머신영화계의 레전드로 남을듯. 무엇보다 백투더 퓨쳐의 성공의 원인은 주인공인 마이클 j 폭스의 몸을 아끼지 않은 열연과 스티븐 스필버그의 뛰어난 연출력이 성공요인임.,pos
지금 봐도 정말 재미있는 영화,pos
글쎄요......,neg
"근육질 몸과 막강화력의 큰총으로 무장한 마초식 영웅들이 람보, 코만도등과 더불어 영화계를 점령하던 시절, 영화내내 권총한자루, 맨발에 흰 러닝셔츠차림으로 나오는 평범한 영웅은 가히 혁신적이었음!",pos
21세기 스포츠 연감 같은 거 하늘에서 하나 뚝 떨어져라.,pos
음악만으로 10점이다,pos
봐도봐도 재밌음!!♥,pos
서우.. 옥메와까 광고할 때가 훨 나았다..,neg
이런 변태같은 스토리는 흥행하기 힘들다 이딴내용으로 인기끌려고 했나,neg
내가 스타워즈를 보고나서 영화감독 하고싶다는꿈이생겼지..,pos
시시하고 파워가 없다 마지막 1대1 맞짱은 유치했다,neg
TV판을 본 후에 보면 좋을듯. 마마마 작가님 사랑함,pos
"아무리 원래 평점평은 알바들이 지배했다지만 이제 영화알바도 짱개들이 지배하는듯 이 영화에 색즉시공을 비교하는 짱개들의 패기에 어이없음과 거부감을 느낀다.노잼,노감동,노눈요기,줄수있다면 평점 0점을 주고 싶다.영화 포스터만도 못한 내용",neg
1편까지는 봐줄만 하지만 2편부터는 정말 유치하다..,neg
1점으헤헤시내ㅓ헤세헤,neg
기껏해야 벽에 대가리나 박는 에이리언이 엘리베이터 이용에 무임승차까지 하는게 감탄스러웠고 아주매미가 로봇 타고 나와서 에이리언 귓방맹이 2대 때리는데 그렇게 짜릿할수가 없더라 무엇보다도 뉴트가 너무 사랑스럽더라 아청법은 꼭 필요한거 같다 뉴트♥,pos
이게 82년도 작품이라니 대단하구나.. 30년이 지났는데도 전혀 어색한거 없구 자연스럽다. 영화 정말 잘만들었다. 괜히 스티븐스필버그가 아니군..,pos
"서서히 엄습해오는 스릴과 공포, 최고의 특수효과로 무장된 멋진 영상, 정교하고 세련되게 만들어진 에이리언의 모습까지 모든면에서 완벽한 최고의 SF크리쳐물이다. 이 영화가 70년대에 만들어졌다는게 믿기지 않는다.",pos
보고잇는거 자체가 시간낭비다. 이러니까 상영관도 없이 개봉ㅂㅂ 햇지. 영상전환 하며 연기하며 스토리하며 걍 독립영화보다도 못함. 대학교 영화동아리가 찍은영화라해도믿을정도로 허접OOO,neg
평점이 왜 이러냐 알바 았는 듯하네. 시간 아까워.,neg
미이라 시리즈중에서 최악이다,neg
완벽한 스토리와 영상.  진짜 개 쩐다....,pos
비디오가게의 전설. 터미네이터와 영웅본색,pos
와  0점 줄 수 있으면 주고 싶을 정도이다....더빙 꺼져라,neg
마마죽는다해도 전남편 현남편 이랑같이산다는게말이됨?ㄷㅋ글고 남자게이만들고잇어 ㅋㅋ 아진짜웃긴다,neg
저도 출연진때문에 안봐지네요..은씨,neg
독도는 우리땅....일본 관광객을 상대로 보여 주고싶어요,pos
이렇게 오래 끄는영화 치곤 재밌는거 없다 록키 사나이의 로망~,pos
~~~~!!!@@@@,neg
별로..,neg
너무뻔함..  타임머신타고 뒤로돌아간기분..  더워같은기분들엇음,neg
성동일딸 시르다...참,neg
캐릭터목소리가 자동적으로 1점주게 만드네.미쳤냐 왜 개그맨쓰냐 제발성우써라 귀여운 캐릭터가 아저씨아줌마목소리 내서 깜놀,neg
"갠적으로 1편보다 록키2편이 진짜 최고,, 경기 끝나고 챔피언에 오른 다음에 아드리안 나 해냈어 할때 진짜 감동적인 쓰나미 밀려옴",pos
아니 어찌 이리어색하오,neg
수OO이 지나도 기억나는 영화,pos
